precos;area;garagem;banheiros;lareira;marmore;andares
51875;25;3;4;3;0;1
17875;35;1;3;1;0;0
47075;195;2;4;2;0;0
38575;33;2;2;1;0;1
33775;11;2;3;0;0;1
35450;148;2;5;2;0;0
52025;211;2;3;2;1;0
37550;172;2;2;3;1;0
31500;62;1;4;2;0;0
37650;218;3;1;0;1;0
57075;215;3;5;2;1;1
38750;220;2;2;4;0;1
29950;58;1;1;0;1;0
30750;42;1;4;0;1;0
45750;182;1;5;3;1;0
52875;57;2;2;4;1;0
41850;136;2;1;0;0;0
36150;186;1;3;4;1;0
60850;206;3;5;3;0;1
60225;171;1;2;4;0;1
56600;186;1;2;2;1;1
51175;229;1;3;1;1;0
42175;87;1;3;0;0;1
53825;135;3;1;4;1;1
23725;101;1;1;3;0;0
33275;173;1;4;2;0;0
61700;10;2;3;0;1;1
24700;248;3;2;1;0;0
54200;218;3;5;4;0;1
56550;84;1;4;4;1;1
57775;233;3;5;4;1;1
34225;41;1;3;2;1;0
39925;107;2;1;2;0;1
70025;123;1;4;3;1;1
49225;79;2;5;1;1;0
30175;77;3;1;2;0;0
60975;171;2;5;4;0;1
55225;221;2;2;0;0;1
60375;57;2;1;2;1;1
65500;150;3;5;1;1;1
45475;29;1;5;3;0;1
30400;146;3;4;1;0;0
43475;109;1;2;4;1;0
49425;17;3;5;1;1;0
35425;37;2;2;1;0;1
34575;213;1;2;3;0;1
27575;193;3;4;2;0;0
29475;21;1;4;2;0;0
53600;84;3;3;2;1;1
18150;158;1;2;0;0;0
46850;184;2;5;2;0;1
17975;169;1;4;2;0;0
41450;20;2;4;3;0;0
42200;60;1;4;2;0;0
36250;70;3;2;4;0;1
13300;132;2;2;0;0;0
32100;56;3;1;1;0;0
29275;141;3;2;1;0;0
48225;211;1;1;4;0;1
49800;214;3;3;0;0;1
43275;221;3;3;0;0;1
37325;233;2;3;3;0;0
32725;71;1;5;0;1;0
25000;220;1;4;3;0;0
61475;231;1;5;3;0;1
43700;110;3;3;2;1;0
31950;40;1;5;3;0;0
42800;122;2;3;2;0;1
36850;24;2;5;3;0;1
20975;211;1;3;0;0;0
45325;115;3;1;4;0;1
31350;224;3;4;4;0;0
43850;136;3;5;3;0;1
34125;45;1;2;1;0;0
13400;36;2;3;0;0;0
33625;157;1;4;3;0;0
56100;126;1;3;3;0;1
55425;49;3;5;4;0;1
40825;233;3;1;3;1;0
52600;76;1;4;2;0;1
14650;6;1;5;1;0;0
44325;185;1;1;3;1;0
16425;7;1;3;4;0;0
58000;182;1;4;1;1;1
38550;174;2;2;1;0;0
25625;35;2;1;1;0;1
46400;238;3;5;1;0;1
51800;122;2;4;3;1;1
29475;99;2;1;4;0;0
31500;2;1;5;2;0;0
55900;66;2;5;4;1;1
35675;159;1;1;2;0;1
25225;99;1;1;2;1;0
19450;40;3;1;0;0;0
53300;82;2;4;2;1;1
20875;25;3;4;2;0;0
39425;159;1;5;3;0;1
36600;114;2;4;0;1;0
39025;83;3;5;4;1;0
47200;88;2;4;3;1;1
35325;193;3;2;0;0;0
44500;100;3;4;0;0;1
48175;27;2;5;1;1;0
47875;155;3;4;4;1;0
20475;61;2;1;1;0;0
30100;26;1;2;0;0;1
19075;45;1;3;0;0;0
47900;78;1;4;0;1;1
48925;207;2;3;1;0;1
46675;19;1;5;0;1;0
39800;184;2;2;4;1;0
36675;29;2;4;0;0;0
53850;106;3;4;3;0;1
34900;158;2;3;0;0;0
51475;1;1;5;4;0;1
30675;17;2;4;0;1;0
21250;200;3;1;1;0;0
30475;49;2;2;3;0;0
50225;129;2;1;4;0;1
39600;96;1;2;1;0;1
42150;58;2;4;2;1;0
32525;171;2;4;3;0;0
21550;44;1;4;2;0;0
16650;28;3;1;0;0;0
38050;232;1;4;0;0;1
48900;138;2;4;2;1;0
52750;50;2;3;2;0;1
34350;164;1;3;4;1;0
50025;181;3;4;4;0;1
47950;248;2;4;3;1;0
32200;28;1;4;2;1;0
29525;161;2;1;2;0;1
29775;31;3;4;0;0;1
43325;163;3;5;4;1;0
63450;78;2;4;0;1;1
49525;111;2;1;4;0;1
65875;37;3;4;3;1;1
25175;67;1;1;1;1;0
36675;79;3;4;3;1;0
39975;201;1;1;2;0;0
53425;139;1;4;4;0;1
53275;81;1;1;4;1;1
50925;49;3;2;0;0;1
44825;153;3;3;4;0;0
37175;237;3;4;4;1;0
26350;116;2;5;2;0;0
16675;57;1;1;1;0;0
48700;168;2;3;2;0;1
46825;93;2;3;2;0;1
61575;43;2;5;3;1;1
33125;85;3;2;4;0;0
26125;225;1;2;0;0;0
60600;214;1;1;3;1;1
63450;70;2;2;2;1;1
66550;244;2;1;4;1;1
58325;85;1;1;0;1;1
24650;206;1;3;0;0;0
52875;137;3;3;1;0;1
33425;197;3;4;3;0;0
56975;51;1;5;3;0;1
48300;152;2;3;4;0;1
22175;137;2;5;2;0;0
21400;68;3;3;3;0;0
36325;233;2;5;0;0;0
44625;205;3;4;1;0;1
53875;95;3;5;3;1;0
17300;22;1;3;0;0;0
46500;202;1;5;4;0;0
31925;229;1;1;2;0;0
51650;226;1;2;0;1;1
62775;63;3;5;2;0;1
32625;45;1;1;4;0;1
35450;210;1;4;2;0;0
63800;84;3;2;2;1;1
27950;150;1;4;2;0;0
50225;11;2;1;0;0;1
37750;212;1;4;0;0;0
45550;192;3;1;0;1;0
56875;195;3;1;4;0;1
51050;92;3;2;1;0;1
57925;27;1;1;3;1;1
59200;108;2;4;4;1;1
56675;117;2;4;3;0;1
54850;184;3;1;0;0;1
36275;61;3;4;1;0;1
48175;167;2;5;4;0;1
71200;60;3;5;3;1;1
35000;162;1;5;3;0;0
28525;1;2;3;3;0;1
53475;9;3;2;4;0;1
50100;4;3;1;3;1;1
45825;43;1;4;4;1;0
66925;239;2;2;1;1;1
42175;187;3;4;4;0;0
49825;185;3;5;3;0;1
44850;206;3;1;0;0;0
39000;100;2;5;1;0;1
38050;114;2;5;2;0;0
54650;98;1;5;4;1;1
25800;124;1;5;1;0;0
49200;20;3;1;3;0;1
33225;11;2;3;3;0;1
56475;71;3;4;3;1;0
68500;170;2;5;2;1;1
73675;229;2;5;1;1;1
44575;15;3;2;3;1;0
26425;47;2;4;1;0;0
52550;94;1;3;4;1;0
49550;142;2;4;4;1;1
43325;183;3;5;2;0;1
25850;176;2;1;4;0;0
35400;228;1;3;3;0;0
30350;244;1;2;1;0;1
49525;73;1;1;1;0;1
47475;159;2;1;4;0;1
41850;4;2;4;0;1;0
39875;205;2;1;3;0;1
43150;228;3;1;2;1;0
18025;151;2;3;4;0;0
63175;87;1;4;3;1;1
39350;156;2;5;1;0;0
50850;196;3;3;2;0;1
37950;118;3;5;1;0;0
51450;58;1;4;0;0;1
