Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Recreio dos Bandeirantes;3;2;1;320;3200.0;1319.0;0.0;10.0;Apartamento
Apartamento;Maracanã;2;0;0;59;800.0;725.0;47.0;13.56;Apartamento
Apartamento;Leblon;3;2;1;147;7500.0;1000.0;381.0;51.02;Apartamento
Apartamento;São Conrado;3;3;3;270;14999.0;2800.0;1200.0;55.55;Apartamento
Apartamento;Tijuca;2;1;0;65;1200.0;640.0;97.0;18.46;Apartamento
Apartamento;Cachambi;2;1;1;75;1400.0;715.0;0.0;18.67;Apartamento
Apartamento;Glória;1;0;0;52;1700.0;560.0;0.0;32.69;Apartamento
Apartamento;Engenho Novo;2;1;0;70;1200.0;430.0;21.0;17.14;Apartamento
Apartamento;Maracanã;1;1;0;59;1500.0;410.0;0.0;25.42;Apartamento
Apartamento;Flamengo;3;0;0;100;2500.0;980.0;105.0;25.0;Apartamento
Apartamento;Pechincha;1;1;0;54;1200.0;347.0;0.0;22.22;Apartamento
Apartamento;Lagoa;2;1;1;95;3800.0;1800.0;300.0;40.0;Apartamento
Apartamento;Leblon;4;2;1;200;12000.0;2340.0;660.0;60.0;Apartamento
Casa;Vaz Lobo;3;1;0;80;950.0;0.0;36.0;11.88;Casa
Apartamento;Recreio dos Bandeirantes;2;1;1;69;1500.0;752.0;149.0;21.74;Apartamento
Apartamento;Copacabana;1;0;0;39;1800.0;490.0;71.0;46.15;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;1;198;2600.0;1600.0;350.0;13.13;Apartamento
Apartamento;Curicica;2;1;0;46;1000.0;503.0;13.0;21.74;Apartamento
Apartamento;Flamengo;3;1;1;250;8000.0;2000.0;580.0;32.0;Apartamento
Apartamento;Zumbi;2;1;0;64;1600.0;500.0;60.0;25.0;Apartamento
Apartamento;Flamengo;4;1;2;150;6000.0;1700.0;1100.0;40.0;Apartamento
Apartamento;Barra da Tijuca;2;2;0;105;6000.0;2450.0;270.0;57.14;Apartamento
Apartamento;Leblon;2;3;1;75;4200.0;819.0;209.0;56.0;Apartamento
Casa de Vila;Vila Isabel;2;0;0;80;1900.0;0.0;73.0;23.75;Casa
Apartamento;Ipanema;2;1;1;85;6500.0;750.0;200.0;76.47;Apartamento
Apartamento;Gávea;2;1;0;60;2300.0;880.0;0.0;38.33;Apartamento
Apartamento;Copacabana;4;0;2;130;8500.0;730.0;1400.0;65.38;Apartamento
Apartamento;Ipanema;1;0;0;48;2100.0;586.0;155.0;43.75;Apartamento
Quitinete;Copacabana;1;0;0;27;1080.0;450.0;54.0;40.0;Apartamento
Apartamento;Ipanema;4;3;4;500;38000.0;9500.0;2166.0;76.0;Apartamento
Apartamento;Laranjeiras;3;0;0;75;3200.0;652.0;110.0;42.67;Apartamento
Casa;Gávea;4;4;0;450;14000.0;0.0;7200.0;31.11;Casa
Apartamento;Vila Valqueire;3;2;1;129;2200.0;755.0;195.0;17.05;Apartamento
Apartamento;Laranjeiras;3;0;1;147;4500.0;1290.0;226.0;30.61;Apartamento
Apartamento;Botafogo;3;1;2;160;5900.0;1420.0;0.0;36.88;Apartamento
Apartamento;Laranjeiras;4;2;3;284;9000.0;3200.0;0.0;31.69;Apartamento
Apartamento;Leme;2;1;0;90;2500.0;800.0;0.0;27.78;Apartamento
Apartamento;Botafogo;2;1;1;93;2000.0;1300.0;170.0;21.51;Apartamento
Apartamento;Méier;2;0;0;67;1100.0;538.0;13.0;16.42;Apartamento
Apartamento;Copacabana;2;0;0;70;4800.0;1200.0;220.0;68.57;Apartamento
Apartamento;Barra da Tijuca;1;1;0;62;1700.0;945.0;180.0;27.42;Apartamento
Apartamento;Ipanema;3;2;1;117;6300.0;2200.0;387.0;53.85;Apartamento
